comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
hhahaaaa trum gak tau malu dasar perampok wilayah org,hhahaaaa trum gak tau malu dasar perampok wilayah org,hhahaaaa trum gak tau malu dasar perampok wilayah org,hhahaaaa trum tidak tau malu dasar perampok wilayah orang,"['hhahaaaa', 'trum', 'tidak', 'tau', 'malu', 'dasar', 'perampok', 'wilayah', 'orang']",hhahaaaa trump malu dasar perampok wilayah
Su udonnn donal ke china,Su udonnn donal ke china,su udonnn donal ke china,su udonnn donal ke china,"['su', 'udonnn', 'donal', 'ke', 'china']",su udonnn donald china
Amerika dan nato blh kirim alat perang ke ukraina.. china di larang krm ke sekutu nya . Negara yg seenak nya sendiri..,Amerika dan nato blh kirim alat perang ke ukraina china di larang krm ke sekutu nya  Negara yg seenak nya sendiri,amerika dan nato blh kirim alat perang ke ukraina china di larang krm ke sekutu nya  negara yg seenak nya sendiri,amerika dan nato boleh kirim alat perang ke ukraina china di larang kirim ke sekutu ya negara yang seenak ya sendiri,"['amerika', 'dan', 'nato', 'boleh', 'kirim', 'alat', 'perang', 'ke', 'ukraina', 'china', 'di', 'larang', 'kirim', 'ke', 'sekutu', 'ya', 'negara', 'yang', 'seenak', 'ya', 'sendiri']",amerika nato kirim alat perang ukraina china larang kirim sekutu negara seenak
Negara yg seenak nya sendiri.. amerika..,Negara yg seenak nya sendiri amerika,negara yg seenak nya sendiri amerika,negara yang seenak ya sendiri amerika,"['negara', 'yang', 'seenak', 'ya', 'sendiri', 'amerika']",negara seenak amerika
"Negara lain tidak boleh mengembangkan tenags nuklir, dia sendiri AS membuat bom nuklis seenaknya. Curang ente guy.",Negara lain tidak boleh mengembangkan tenags nuklir dia sendiri AS membuat bom nuklis seenaknya Curang ente guy,negara lain tidak boleh mengembangkan tenags nuklir dia sendiri as membuat bom nuklis seenaknya curang ente guy,negara lain tidak boleh mengembangkan tenags nuklir dia sendiri as membuat bom nuklis seenaknya curang ente guy,"['negara', 'lain', 'tidak', 'boleh', 'mengembangkan', 'tenags', 'nuklir', 'dia', 'sendiri', 'as', 'membuat', 'bom', 'nuklis', 'seenaknya', 'curang', 'ente', 'guy']",negara mengembangkan tenags nuklir amerika serikat bom nuklis curang ente guy
Lebih baik 🇮🇷 kembangkan senjata nuklir,Lebih baik  kembangkan senjata nuklir,lebih baik  kembangkan senjata nuklir,lebih baik kembangkan senjata nuklir,"['lebih', 'baik', 'kembangkan', 'senjata', 'nuklir']",kembangkan senjata nuklir
"pasok terus jgn takut China bukan negara yg takut ancaman paling bayak segudang senjata bantulah Iran yg lgi di keroyok seperti Rusia ,as tidak di keroyok ajah udah goyah aplgi cina masuk Iran mampus as",pasok terus jgn takut China bukan negara yg takut ancaman paling bayak segudang senjata bantulah Iran yg lgi di keroyok seperti Rusia as tidak di keroyok ajah udah goyah aplgi cina masuk Iran mampus as,pasok terus jgn takut china bukan negara yg takut ancaman paling bayak segudang senjata bantulah iran yg lgi di keroyok seperti rusia as tidak di keroyok ajah udah goyah aplgi cina masuk iran mampus as,pasok terus jangan takut china bukan negara yang takut ancaman paling bayak segudang senjata bantulah iran yang lagi di keroyok seperti rusia as tidak di keroyok saja sudah goyah aplgi cina masuk iran mampus as,"['pasok', 'terus', 'jangan', 'takut', 'china', 'bukan', 'negara', 'yang', 'takut', 'ancaman', 'paling', 'bayak', 'segudang', 'senjata', 'bantulah', 'iran', 'yang', 'lagi', 'di', 'keroyok', 'seperti', 'rusia', 'as', 'tidak', 'di', 'keroyok', 'saja', 'sudah', 'goyah', 'aplgi', 'cina', 'masuk', 'iran', 'mampus', 'as']",pasok takut china negara takut ancaman bayak segudang senjata bantulah iran keroyok rusia amerika serikat keroyok goyah aplgi cina masuk iran mampus amerika serikat
"seharusnya dunia harus bersatu lawan as dan israel,kalau dunia hanya diam saja maka penjajah semakin besar kepala,",seharusnya dunia harus bersatu lawan as dan israelkalau dunia hanya diam saja maka penjajah semakin besar kepala,seharusnya dunia harus bersatu lawan as dan israelkalau dunia hanya diam saja maka penjajah semakin besar kepala,seharusnya dunia harus bersatu lawan as dan israelkalau dunia hanya diam saja maka penjajah semakin besar kepala,"['seharusnya', 'dunia', 'harus', 'bersatu', 'lawan', 'as', 'dan', 'israelkalau', 'dunia', 'hanya', 'diam', 'saja', 'maka', 'penjajah', 'semakin', 'besar', 'kepala']",dunia bersatu lawan amerika serikat israelkalau dunia diam penjajah kepala
"Si donal bebek,ku kira keras ternyata Kertas,(BOT)goo IRAN🇮🇷🇮🇷🇮🇷Kasih paham AS",Si donal bebekku kira keras ternyata KertasBOTgoo IRANKasih paham AS,si donal bebekku kira keras ternyata kertasbotgoo irankasih paham as,sih donal bebekku kira keras ternyata kertasbotgoo irankasih paham as,"['sih', 'donal', 'bebekku', 'kira', 'keras', 'ternyata', 'kertasbotgoo', 'irankasih', 'paham', 'as']",donald bebekku keras kertasbotgoo irankasih paham amerika serikat
Media frustasi penyebar berita hoax,Media frustasi penyebar berita hoax,media frustasi penyebar berita hoax,media frustasi penyebar berita hoax,"['media', 'frustasi', 'penyebar', 'berita', 'hoax']",media frustasi penyebar berita hoax
"Harga bensin di Iran Rp.200 perak di Indonesia kok mahal ya, oh mungkin ongkir nya kali jadi mahal😂",Harga bensin di Iran Rp perak di Indonesia kok mahal ya oh mungkin ongkir nya kali jadi mahal,harga bensin di iran rp perak di indonesia kok mahal ya oh mungkin ongkir nya kali jadi mahal,harga bensin di iran rp perak di indonesia kok mahal ya oh mungkin ongkir ya kali jadi mahal,"['harga', 'bensin', 'di', 'iran', 'rp', 'perak', 'di', 'indonesia', 'kok', 'mahal', 'ya', 'oh', 'mungkin', 'ongkir', 'ya', 'kali', 'jadi', 'mahal']",harga bensin iran rp perak indonesia mahal oh ongkir kali mahal
Comment Mentri ga ada isi ... kosong  doang,Comment Mentri ga ada isi  kosong  doang,comment mentri ga ada isi  kosong  doang,comment mentri tidak ada isi kosong doang,"['comment', 'mentri', 'tidak', 'ada', 'isi', 'kosong', 'doang']",comment mentri isi kosong doang
Nuklir.. Nuklir.. Selalu jadi kambing hitam dibalik sumur minyak😂😂,Nuklir Nuklir Selalu jadi kambing hitam dibalik sumur minyak,nuklir nuklir selalu jadi kambing hitam dibalik sumur minyak,nuklir nuklir selalu jadi kambing hitam dibalik sumur minyak,"['nuklir', 'nuklir', 'selalu', 'jadi', 'kambing', 'hitam', 'dibalik', 'sumur', 'minyak']",nuklir nuklir kambing hitam dibalik sumur minyak
Cuma Iran di negara sono yang tidak mau jadi ternak AS,Cuma Iran di negara sono yang tidak mau jadi ternak AS,cuma iran di negara sono yang tidak mau jadi ternak as,cuma iran di negara sono yang tidak mau jadi ternak as,"['cuma', 'iran', 'di', 'negara', 'sono', 'yang', 'tidak', 'mau', 'jadi', 'ternak', 'as']",iran negara sono ternak amerika serikat
"Angkatan laut sdh punah tenggelam semua, iran mau tutup selat pake congor...😅😅",Angkatan laut sdh punah tenggelam semua iran mau tutup selat pake congor,angkatan laut sdh punah tenggelam semua iran mau tutup selat pake congor,angkatan laut sudah punah tenggelam semua iran mau tutup selat pakai congor,"['angkatan', 'laut', 'sudah', 'punah', 'tenggelam', 'semua', 'iran', 'mau', 'tutup', 'selat', 'pakai', 'congor']",angkatan laut punah tenggelam iran tutup selat pakai congor
APA HAKNYA AMERIKA MAU BLOKADE SELAT HORMUZ BUKAN WILAYANYA ..KENAPA KMU TDK BLOKADE ISRAEL BANTUAN DARI AMERIKA SENDIRI...ENAK SAJA HAK NEGARA LAIN SEMUA MAU DIAMBIL DASAR IBLIS TERORIS DUNIA...SEHARUSNYA DUNIA GEMPUR TERORIS AMRRIKA DAN TERORIS ISRAEL..YG SELSLU BIKIN KACAO DUNIA,APA HAKNYA AMERIKA MAU BLOKADE SELAT HORMUZ BUKAN WILAYANYA KENAPA KMU TDK BLOKADE ISRAEL BANTUAN DARI AMERIKA SENDIRIENAK SAJA HAK NEGARA LAIN SEMUA MAU DIAMBIL DASAR IBLIS TERORIS DUNIASEHARUSNYA DUNIA GEMPUR TERORIS AMRRIKA DAN TERORIS ISRAELYG SELSLU BIKIN KACAO DUNIA,apa haknya amerika mau blokade selat hormuz bukan wilayanya kenapa kmu tdk blokade israel bantuan dari amerika sendirienak saja hak negara lain semua mau diambil dasar iblis teroris duniaseharusnya dunia gempur teroris amrrika dan teroris israelyg selslu bikin kacao dunia,apa haknya amerika mau blokade selat hormuz bukan wilayanya kenapa kamu tidak blokade israel bantuan dari amerika sendirienak saja hak negara lain semua mau diambil dasar iblis teroris duniaseharusnya dunia gempur teroris amrrika dan teroris israelyg selslu bikin kacao dunia,"['apa', 'haknya', 'amerika', 'mau', 'blokade', 'selat', 'hormuz', 'bukan', 'wilayanya', 'kenapa', 'kamu', 'tidak', 'blokade', 'israel', 'bantuan', 'dari', 'amerika', 'sendirienak', 'saja', 'hak', 'negara', 'lain', 'semua', 'mau', 'diambil', 'dasar', 'iblis', 'teroris', 'duniaseharusnya', 'dunia', 'gempur', 'teroris', 'amrrika', 'dan', 'teroris', 'israelyg', 'selslu', 'bikin', 'kacao', 'dunia']",haknya amerika blokade selat hormuz wilayanya blokade israel bantuan amerika sendirienak hak negara diambil dasar iblis teroris duniaseharusnya dunia gempur teroris amrrika teroris israelyg selslu bikin kacao dunia
Tutup total Hormuz bungkam mulut trump habisi negara sombong .....saya dukung Iran 💪.,Tutup total Hormuz bungkam mulut trump habisi negara sombong saya dukung Iran ,tutup total hormuz bungkam mulut trump habisi negara sombong saya dukung iran ,tutup total hormuz bungkam mulut trump habisi negara sombong saya dukung iran,"['tutup', 'total', 'hormuz', 'bungkam', 'mulut', 'trump', 'habisi', 'negara', 'sombong', 'saya', 'dukung', 'iran']",tutup total hormuz bungkam mulut trump habisi negara sombong dukung iran
"Chanel HOAX...😅
berita palsu cuma editan
..
AS yg blokade selat hormus  berani tembak bakal  di Bom abis teroris  Iran. 😅.","Chanel HOAX
berita palsu cuma editan

AS yg blokade selat hormus  berani tembak bakal  di Bom abis teroris  Iran ","chanel hoax
berita palsu cuma editan

as yg blokade selat hormus  berani tembak bakal  di bom abis teroris  iran ",chanel hoax berita palsu cuma editan as yang blokade selat hormus berani tembak bakal di bom habis teroris iran,"['chanel', 'hoax', 'berita', 'palsu', 'cuma', 'editan', 'as', 'yang', 'blokade', 'selat', 'hormus', 'berani', 'tembak', 'bakal', 'di', 'bom', 'habis', 'teroris', 'iran']",chanel hoax berita palsu editan amerika serikat blokade selat hormuz berani tembak bom habis teroris iran
Bravo iran Best,Bravo iran Best,bravo iran best,bravo iran best,"['bravo', 'iran', 'best']",bravo iran best
GEMPUR HABIS KAPAL AS YG BERUSAHA MASUK KE SELAT HORMUS !!!!!!!!,GEMPUR HABIS KAPAL AS YG BERUSAHA MASUK KE SELAT HORMUS ,gempur habis kapal as yg berusaha masuk ke selat hormus ,gempur habis kapal as yang berusaha masuk ke selat hormus,"['gempur', 'habis', 'kapal', 'as', 'yang', 'berusaha', 'masuk', 'ke', 'selat', 'hormus']",gempur habis kapal amerika serikat berusaha masuk selat hormuz
"Mangx mampu nenggelamkn kapal al as,,,, yg lalu2 swaktu kapal al iran di rudal mpe tenggelam kmana kok diam plonga plongo ae.",Mangx mampu nenggelamkn kapal al as yg lalu swaktu kapal al iran di rudal mpe tenggelam kmana kok diam plonga plongo ae,mangx mampu nenggelamkn kapal al as yg lalu swaktu kapal al iran di rudal mpe tenggelam kmana kok diam plonga plongo ae,mangx mampu nenggelamkn kapal al as yang lalu swaktu kapal al iran di rudal mpe tenggelam kemana kok diam plonga plongo saja,"['mangx', 'mampu', 'nenggelamkn', 'kapal', 'al', 'as', 'yang', 'lalu', 'swaktu', 'kapal', 'al', 'iran', 'di', 'rudal', 'mpe', 'tenggelam', 'kemana', 'kok', 'diam', 'plonga', 'plongo', 'saja']",mangx nenggelamkn kapal al amerika serikat swaktu kapal al iran rudal mpe tenggelam kemana diam plonga plongo
"Trumpet sedang halu.., sok"" An.. 😂",Trumpet sedang halu sok An ,trumpet sedang halu sok an ,trumpet sedang halu sok an,"['trumpet', 'sedang', 'halu', 'sok', 'an']",trumpet halu sok an
Jika AS memblokade selat hormous lebih baik semua negara dunia bersatu mengirim kapal kapal perangnya untuk menembak kapal kapal AS,Jika AS memblokade selat hormous lebih baik semua negara dunia bersatu mengirim kapal kapal perangnya untuk menembak kapal kapal AS,jika as memblokade selat hormous lebih baik semua negara dunia bersatu mengirim kapal kapal perangnya untuk menembak kapal kapal as,jika as memblokade selat hormous lebih baik semua negara dunia bersatu mengirim kapal kapal perangnya untuk menembak kapal kapal as,"['jika', 'as', 'memblokade', 'selat', 'hormous', 'lebih', 'baik', 'semua', 'negara', 'dunia', 'bersatu', 'mengirim', 'kapal', 'kapal', 'perangnya', 'untuk', 'menembak', 'kapal', 'kapal', 'as']",amerika serikat memblokade selat hormous negara dunia bersatu mengirim kapal kapal perangnya menembak kapal kapal amerika serikat
"Tdk usah bangga membela salah satunya, karena dampaknya akan kita rasakan dbyk negara klo krisis teluk ini berkelanjutan, termasuk Indonesia, tdk cuman BBM yg naik, harga dlm segala hal pasti berpotensi naik semua,krisis global terjadi perusahaan pasti mengurangi tenaga kerja, byk PHK. Jadi mari kita berdoa spy kedua belah pihak berdamai krn dampaknya akan sangat mengerikan...!",Tdk usah bangga membela salah satunya karena dampaknya akan kita rasakan dbyk negara klo krisis teluk ini berkelanjutan termasuk Indonesia tdk cuman BBM yg naik harga dlm segala hal pasti berpotensi naik semuakrisis global terjadi perusahaan pasti mengurangi tenaga kerja byk PHK Jadi mari kita berdoa spy kedua belah pihak berdamai krn dampaknya akan sangat mengerikan,tdk usah bangga membela salah satunya karena dampaknya akan kita rasakan dbyk negara klo krisis teluk ini berkelanjutan termasuk indonesia tdk cuman bbm yg naik harga dlm segala hal pasti berpotensi naik semuakrisis global terjadi perusahaan pasti mengurangi tenaga kerja byk phk jadi mari kita berdoa spy kedua belah pihak berdamai krn dampaknya akan sangat mengerikan,tidak usah bangga membela salah satunya karena dampaknya akan kita rasakan dbyk negara kalau krisis teluk ini berkelanjutan termasuk indonesia tidak cuman bbm yang naik harga dalam segala hal pasti berpotensi naik semuakrisis global terjadi perusahaan pasti mengurangi tenaga kerja banyak phk jadi mari kita berdoa supaya kedua belah pihak berdamai karena dampaknya akan sangat mengerikan,"['tidak', 'usah', 'bangga', 'membela', 'salah', 'satunya', 'karena', 'dampaknya', 'akan', 'kita', 'rasakan', 'dbyk', 'negara', 'kalau', 'krisis', 'teluk', 'ini', 'berkelanjutan', 'termasuk', 'indonesia', 'tidak', 'cuman', 'bbm', 'yang', 'naik', 'harga', 'dalam', 'segala', 'hal', 'pasti', 'berpotensi', 'naik', 'semuakrisis', 'global', 'terjadi', 'perusahaan', 'pasti', 'mengurangi', 'tenaga', 'kerja', 'banyak', 'phk', 'jadi', 'mari', 'kita', 'berdoa', 'supaya', 'kedua', 'belah', 'pihak', 'berdamai', 'karena', 'dampaknya', 'akan', 'sangat', 'mengerikan']",bangga membela salah satunya dampaknya rasakan dbyk negara krisis teluk berkelanjutan indonesia cuman bbm harga berpotensi semuakrisis global perusahaan mengurangi tenaga kerja phk mari berdoa belah berdamai dampaknya mengerikan
China tutup udara karna parno.. Amerika licik bisa aja tiba tiba main comot kepala negara dengan memanfaatkan situasi mata tertuju perang Iran tapi sambil sikat pemimpin china,China tutup udara karna parno Amerika licik bisa aja tiba tiba main comot kepala negara dengan memanfaatkan situasi mata tertuju perang Iran tapi sambil sikat pemimpin china,china tutup udara karna parno amerika licik bisa aja tiba tiba main comot kepala negara dengan memanfaatkan situasi mata tertuju perang iran tapi sambil sikat pemimpin china,china tutup udara karena parno amerika licik bisa saja tiba tiba main comot kepala negara dengan memanfaatkan situasi mata tertuju perang iran tapi sambil sikat pemimpin china,"['china', 'tutup', 'udara', 'karena', 'parno', 'amerika', 'licik', 'bisa', 'saja', 'tiba', 'tiba', 'main', 'comot', 'kepala', 'negara', 'dengan', 'memanfaatkan', 'situasi', 'mata', 'tertuju', 'perang', 'iran', 'tapi', 'sambil', 'sikat', 'pemimpin', 'china']",china tutup udara parno amerika licik main comot kepala negara memanfaatkan situasi mata perang iran sikat pemimpin china
😂😂😂 tentara amerika jadi penjahat karena gara-gara presidennya..😂😂😂😂 klo saya jadi tentaranya pasti kudeta sama presidenya, tentara amerika jadi penjahat karena garagara presidennya klo saya jadi tentaranya pasti kudeta sama presidenya, tentara amerika jadi penjahat karena garagara presidennya klo saya jadi tentaranya pasti kudeta sama presidenya,tentara amerika jadi penjahat karena garagara presidennya kalau saya jadi tentaranya pasti kudeta sama presidenya,"['tentara', 'amerika', 'jadi', 'penjahat', 'karena', 'garagara', 'presidennya', 'kalau', 'saya', 'jadi', 'tentaranya', 'pasti', 'kudeta', 'sama', 'presidenya']",tentara amerika penjahat garagara presidennya tentaranya kudeta presidenya
CINA SUDAH SADAR DI NEGARA NYA SUDAH ADA AGEN2 MOSAD ISRAEL.,CINA SUDAH SADAR DI NEGARA NYA SUDAH ADA AGEN MOSAD ISRAEL,cina sudah sadar di negara nya sudah ada agen mosad israel,cina sudah sadar di negara ya sudah ada agen mosad israel,"['cina', 'sudah', 'sadar', 'di', 'negara', 'ya', 'sudah', 'ada', 'agen', 'mosad', 'israel']",cina sadar negara agen mosad israel
Di sini nih cina berani engga hajar Amerika...Iran ajah berani kenapa cina engga berani..hajar amerika,Di sini nih cina berani engga hajar AmerikaIran ajah berani kenapa cina engga beranihajar amerika,di sini nih cina berani engga hajar amerikairan ajah berani kenapa cina engga beranihajar amerika,di sini nih cina berani tidak hajar amerikairan saja berani kenapa cina tidak beranihajar amerika,"['di', 'sini', 'nih', 'cina', 'berani', 'tidak', 'hajar', 'amerikairan', 'saja', 'berani', 'kenapa', 'cina', 'tidak', 'beranihajar', 'amerika']",cina berani hajar amerikairan berani cina beranihajar amerika
